"Are you self-employed?","How many employees does your company or organization have?","Is your employer primarily a tech company/organization?","Is your primary role within your company related to tech/IT?","Does your employer provide mental health benefits as part of healthcare coverage?","Do you know the options for mental health care available under your employer-provided coverage?","Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?","Does your employer offer resources to learn more about mental health concerns and options for seeking help?","Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?","If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:","Do you think that discussing a mental health disorder with your employer would have negative consequences?","Do you think that discussing a physical health issue with your employer would have negative consequences?","Would you feel comfortable discussing a mental health disorder with your coworkers?","Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?","Do you feel that your employer takes mental health as seriously as physical health?","Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?","Do you have medical coverage (private insurance or state-provided) which includes treatment of  mental health issues?","Do you know local or online resources to seek help for a mental health disorder?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?","Do you believe your productivity is ever affected by a mental health issue?","If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?","Do you have previous employers?","Have your previous employers provided mental health benefits?","Were you aware of the options for mental health care provided by your previous employers?","Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?","Did your previous employers provide resources to learn more about mental health issues and how to seek help?","Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?","Do you think that discussing a mental health disorder with previous employers would have negative consequences?","Do you think that discussing a physical health issue with previous employers would have negative consequences?","Would you have been willing to discuss a mental health issue with your previous co-workers?","Would you have been willing to discuss a mental health issue with your direct supervisor(s)?","Did you feel that your previous employers took mental health as seriously as physical health?","Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?","Would you be willing to bring up a physical health issue with a potential employer in an interview?","Why or why not?","Would you bring up a mental health issue with a potential employer in an interview?","Why or why not?","Do you feel that being identified as a person with a mental health issue would hurt your career?","Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?","How willing would you be to share with friends and family that you have a mental illness?","Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?","Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?","Do you have a family history of mental illness?","Have you had a mental health disorder in the past?","Do you currently have a mental health disorder?","If yes, what condition(s) have you been diagnosed with?","If maybe, what condition(s) do you believe you have?","Have you been diagnosed with a mental health condition by a medical professional?","If so, what condition(s) were you diagnosed with?","Have you ever sought treatment for a mental health issue from a mental health professional?","If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?","What is your age?","What is your gender?","What country do you live in?","What US state or territory do you live in?","What country do you work in?","What US state or territory do you work in?","Which of the following best describes your work position?","Do you work remotely?"
1,,,,,,,,,,,,,,,,0,"I know some","Sometimes, if it comes up","I'm not sure","Sometimes, if it comes up",Yes,Yes,51-75%,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",Yes,"My physical health directly impacts my productivity and is a factor I consider in any value proposition with an employer.",Maybe,"My physical health problems are less stigmatized. ","Yes, it has",Maybe,"Somewhat open","Yes, I observed",N/A,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Stress Response Syndromes",1,Often,Often,46,male,Australia,,Australia,,Designer,Always
0,6-25,1,,"I don't know",No,No,Yes,"I don't know","Neither easy nor difficult",Maybe,No,No,Maybe,Yes,No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did",Sometimes,"I don't know","None of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",No,"unless it's visible or actively and noticably influencing my behaviour, I think it's none of their business",No,"none of their business unless it actively limits my activities, at which point I probably wouldn't be interviewing anyway","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure",No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,32,Female,"United Kingdom",,"United Kingdom",,"Back-end Developer",Never
1,,,,,,,,,,,,,,,,0,"Yes, I know several","No, because it doesn't matter","I'm not sure","Sometimes, if it comes up","I'm not sure",Yes,1-25%,1,"No, none did","No, I only became aware later","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","None did","Yes, all of them",Maybe,"depends on the role and the company as to their response to that",Maybe,"very much depends on what the line of questioning leading to that was and the nature of their line of enquiry","Yes, it has",Maybe,"Very open","Yes, I experienced",No,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Sometimes,35,m,"United Kingdom",,"United Kingdom",,"One-person shop|DevOps/SysAdmin|Executive Leadership",Sometimes
0,100-500,1,,Yes,"I am not sure",Yes,No,"I don't know","Very easy",No,No,Maybe,Maybe,Yes,No,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Some did",Sometimes,"Yes, all of them","Some of them","Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did","None of them",No,,No,,Maybe,Maybe,"Somewhat open",No,,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",34,Male,"United Kingdom",,"United Kingdom",,"Supervisor/Team Lead",Sometimes
0,6-25,1,,"Not eligible for coverage / N/A",N/A,No,No,"I don't know","Neither easy nor difficult",Maybe,Maybe,Maybe,Maybe,Yes,No,,,,,,,,,1,"Yes, they all did","N/A (not currently aware)","None did","None did",No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers","None did","None of them",Maybe,"If the health issue could reasonably impact my ability to perform my duties, providing that information would be relevant. However, if I was confident the impact would be minimal, there would be no reason to offer unnecessary information. ",No,"There is still too much stigma attached to mental health and the possibility for discrimination is too high. I might disclose it *after* being hired and passing any probationary period. ",Maybe,"No, I don't think they would","Not open at all",No,,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Never,Rarely,35,male,"United States of America",Illinois,"United States of America",Illinois,"Supervisor/Team Lead|Back-end Developer|Front-end Developer",Always
0,26-100,1,,No,"I am not sure",Yes,No,Yes,"Very easy",No,No,Maybe,Yes,Yes,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","Some did","Yes, always","Some of them","None of them","Some of my previous employers","Some of my previous employers","None did","Some of them",Maybe,,No,,Maybe,Maybe,"Somewhat open","Maybe/Not sure",No,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",31,Male,Norway,,Norway,,"Executive Leadership",Sometimes
1,,,,,,,,,,,,,,,,1,"I know some","No, because it would impact me negatively",Yes,"Sometimes, if it comes up",Yes,Yes,1-25%,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","Yes, all of them","Some of them","Some of my previous employers","No, at none of my previous employers","I don't know","Some of them",Yes,"I have physical health issues which I am not able to hide and which I require accommodation for in many situations or cannot function.  I discuss it when that is absolutely necessary.",No,"I have enough counting against me in an interview without adding to the number of biases weighted against me.","Yes, I think it would","Yes, I think they would","Somewhat open",No,,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,35,F,"United States of America",Washington,"United States of America",Washington,"Back-end Developer",Always
0,26-100,0,1,"I don't know",No,No,No,"I don't know","Somewhat easy",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"I don't know","No, I only became aware later","None did","Some did","I don't know","None of them","None of them","Yes, at all of my previous employers","Yes, at all of my previous employers","Some did","None of them",Yes,"I would discuss it to make sure I was open and up front about myself and who I am/how I work",Maybe,"I depends on what degree it affects my work. If it affects how I work I would want to be up front about that.",Maybe,"No, I don't think they would","Very open",No,,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",36,Male,"United States of America",Indiana,"United States of America",Indiana,"Supervisor/Team Lead",Sometimes
0,26-100,1,,Yes,"I am not sure",No,"I don't know","I don't know","Somewhat difficult",Maybe,No,Maybe,Maybe,Yes,No,,,,,,,,,1,"Some did","I was aware of some","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","Some did","None of them",Maybe,"Could be seen as a weakness, or a reason why you couldn't be as productive.",No,"Could definitely be seen as a weakness and a reason why you wouldn't be as productive as someone without the issue.","Yes, I think it would","Yes, I think they would","Somewhat open",No,,Yes,Yes,No,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Obsessive-Compulsive Disorder",1,Never,Sometimes,50,Male,"United States of America",Minnesota,"United States of America",Minnesota,"Back-end Developer",Sometimes
0,6-25,1,,"I don't know","I am not sure",No,No,Yes,"Very easy",No,No,Maybe,Yes,"I don't know",No,,,,,,,,,0,,,,,,,,,,,,No,"Seems like it could only hurt you",No,"Would only hurt you",Maybe,"No, I don't think they would","Somewhat open",No,,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Obsessive-Compulsive Disorder",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Obsessive-Compulsive Disorder",1,Rarely,Rarely,31,Male,"United States of America",Indiana,"United States of America",Indiana,"Supervisor/Team Lead",Sometimes
0,100-500,1,,Yes,Yes,No,No,"I don't know","I don't know",Maybe,Maybe,Yes,Maybe,"I don't know",No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did","I don't know","I don't know","Some of them","Some of my previous employers","Some of my previous employers","Some did","None of them",No,"It's illegal for them to ask in the U.S. and unless it's relevant to job performance there's no reason for me to bring it up.",No,"It's not relevant to my ability to perform the job responsibilities.",Maybe,Maybe,"Somewhat open",No,,Yes,Yes,No,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,47,male,"United States of America",Vermont,"United States of America",Vermont,"Dev Evangelist/Advocate|Back-end Developer",Never
0,6-25,1,,"I don't know","I am not sure",No,"I don't know","I don't know","Very difficult",Maybe,Maybe,Maybe,No,"I don't know",Yes,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did","Yes, always","Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers","I don't know","None of them",No,"I have fibromyalgia which still isn't accepted fully in the medical community, so I don't believe it would be handled well by employers (or anybody, really).",No,"Don't have one personally, but the same logic applies. Mental health isn't respected or understood well by anyone and I don't see how it would be to my advantage to disclose.","Yes, I think it would",Maybe,"Somewhat open","Maybe/Not sure",Maybe,No,No,No,,,No,,1,"Not applicable to me","Not applicable to me",32,Female,Canada,,Canada,,"Front-end Developer|Back-end Developer|Supervisor/Team Lead",Never
0,26-100,1,,Yes,Yes,No,No,Yes,"Somewhat easy",No,No,Maybe,Yes,Yes,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Yes, all of them","Yes, all of them","No, at none of my previous employers","I don't know","I don't know","None of them",Maybe,"If it was going to effect my position, I would bring it up.",Maybe,"If it was going to effect my position, I would bring it up.",Maybe,"No, I don't think they would","Somewhat open","Yes, I experienced",Yes,Yes,No,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,23,Female,Canada,,Canada,,Designer,Never
0,6-25,1,,Yes,"I am not sure",No,"I don't know","I don't know","Somewhat difficult",Maybe,No,Yes,Yes,Yes,No,,,,,,,,,1,"Yes, they all did","I was aware of some","Some did","Some did","Yes, always","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",Maybe,,No,,"Yes, I think it would",Maybe,"Very open",No,,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,43,Female,Canada,,Canada,,Sales,Sometimes
0,6-25,1,,Yes,Yes,No,No,"I don't know","Neither easy nor difficult",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","I don't know","None of them","Yes, at all of my previous employers","Yes, at all of my previous employers","Some did","None of them",Maybe,"It would depend on the relevance said issue had to the job - for example, I wouldn't feel the need to bring up a knee problem for a desk job interview. If I had a chronic physical health issue that would require me to take breaks or time off, I would be upfront about it. ",Maybe,"Again, it would depend on the relevance. If a mental health issue would in any way effect my life at a the potential job, I would much rather be upfront about my needs and requirements from my employers than try to hide it. If I thought it was irrelevant to the job, I probably wouldn't bring it up during an interview.",Maybe,"No, I don't think they would","Very open","Yes, I observed",No,Yes,Maybe,No,,,No,,0,"Not applicable to me","Not applicable to me",26,Female,Canada,,Canada,,Designer,Sometimes
0,26-100,1,,"I don't know","I am not sure",No,"I don't know","I don't know","I don't know",No,No,Maybe,Maybe,"I don't know",No,,,,,,,,,1,"I don't know","N/A (not currently aware)","I don't know","None did","I don't know","Some of them","Some of them","Yes, at all of my previous employers","Yes, at all of my previous employers","I don't know","None of them",Yes,,No,,Maybe,Maybe,"Somewhat not open","Maybe/Not sure",N/A,Yes,Maybe,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",No,,0,Sometimes,Sometimes,26,female,Canada,,Canada,,Other,Never
0,6-25,1,,Yes,Yes,Yes,Yes,Yes,"Very easy",No,No,Maybe,Yes,Yes,No,,,,,,,,,1,"Some did","Yes, I was aware of all of them","Some did","Some did",Sometimes,"Some of them","Some of them","No, at none of my previous employers","Some of my previous employers","Some did","Some of them",Maybe,"It would depend on the nature of the job and the physical health issue - if there would be a direct impact on my ability to work because of the issue.  If not relevant, I would not disclose.",Maybe,"Only if I had a firm belief that there would be no negative consequences.","Yes, I think it would",Maybe,"Somewhat open","Yes, I observed",Maybe,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",55,Female,Canada,,Canada,,"Executive Leadership",Sometimes
0,6-25,1,,Yes,No,Yes,No,"I don't know","Neither easy nor difficult",No,No,Maybe,Maybe,Yes,No,,,,,,,,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","I don't know","None of them","No, at none of my previous employers","I don't know","None did","None of them",No,"I would be afraid that it would result in me being passed up for the position.",No,"I would be afraid that it would result in me not being chosen for the position.",Maybe,Maybe,"Somewhat open","Maybe/Not sure",Maybe,No,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Often,Often,27,Male,Canada,,Canada,,Other,Never
0,100-500,1,,"Not eligible for coverage / N/A",No,No,"I don't know","I don't know","Somewhat difficult",Maybe,No,No,No,"I don't know",No,,,,,,,,,1,"No, none did","No, I only became aware later","None did","None did",No,"Some of them","Some of them","Some of my previous employers","No, at none of my previous employers","None did","None of them",Yes,"I would bring up a physical health issue because, compared with mental health issues, i feel that there is no prejudices",No,"Like i said before, i think that there are so many prejudices and ignorance about mental health","Yes, I think it would","Yes, I think they would","Somewhat not open","Maybe/Not sure",No,Yes,No,No,,,No,,1,"Not applicable to me","Not applicable to me",34,Male,Argentina,,Argentina,,Other,Always
0,26-100,1,,No,N/A,No,No,"I don't know","Somewhat difficult",Yes,Maybe,No,No,"I don't know",No,,,,,,,,,0,,,,,,,,,,,,Yes,"If I have a physical health issue and it has the potential to interfere with my work life, I must be upfront about it.",Maybe,"I am from India. IMO mental illness is not looked upon in an accepting way here. If I have an mental health issue, I would be skeptical to talk about it as it might affect my prospects.","Yes, I think it would","Yes, I think they would",Neutral,N/A,,Yes,No,No,,,No,,0,"Not applicable to me","Not applicable to me",25,Male,India,,India,,"Back-end Developer",Never
0,26-100,0,1,"I don't know",No,No,"I don't know","I don't know","Somewhat difficult",Yes,No,Maybe,Yes,"I don't know",No,,,,,,,,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","I don't know","None of them","Some of my previous employers","No, at none of my previous employers","Some did","None of them",No,"i would not want to give the interviewer any reason at all to disqualify me",No,"i would not want to give ANY reason for disqualification","Yes, I think it would",Maybe,"Somewhat open",No,,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",35,male,"United States of America",Indiana,"United States of America",Indiana,"Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Front-end Developer",Sometimes
1,,,,,,,,,,,,,,,,1,"Yes, I know several","Sometimes, if it comes up",No,"Sometimes, if it comes up",No,Yes,1-25%,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","No, at none of my previous employers","None did","None of them",Maybe,"I guess it really depends on whether it is necessary for the job. If it will not impact day-to-day work, it would not be necessary",Maybe,"I am scared it may scare off potential employers to be honest. I guess it really depends on the person that is sitting across the table and how comfortable I'd feel.",Maybe,"No, I don't think they would","Very open","Yes, I experienced",No,No,Yes,Yes,Depression,,Yes,Depression,1,Rarely,Sometimes,37,Male,Netherlands,,Netherlands,,"Back-end Developer",Sometimes
0,26-100,1,,Yes,"I am not sure",No,Yes,"I don't know","Very easy",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"Yes, they all did","I was aware of some","None did","None did","I don't know","Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",Yes,"There is no stigma against physical health issue like there is with mental health.",No,"The stigma associated with mental health colors the judgement of potential candidates.  ",Maybe,Maybe,"Somewhat not open","Yes, I experienced",N/A,"I don't know",Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,38,Female,"United States of America",Illinois,"United States of America",Illinois,Other,Sometimes
